Player,Squad,Pos,Nation,Age,Min,90s,npxG,Gls,Ast,Sh,SoT,SCA,GCA,PrgP,PrgC,KP,Succ,Crs,Pass_Short_Cmp,Pass_Med_Cmp,Pass_Long_Cmp,Tkl,TklW,Int,Blocks,Clr,Recov,Won%,market_value_in_eur
Omari Forson,Monza,"MF,FW",eng ENG,20.0,223,2.5,0.2,0,0,2.0,0.4,5.6,0.0,10,14,3.2,2.4,3.6,19.2,14.0,2.0,1.2,1.2,0.4,2.4,0.4,4.4,0.0,2000000.0
Héctor Fort,Barcelona,DF,es ESP,17.0,585,6.5,0.2,0,0,0.92,0.0,2.46,0.15,26,14,1.54,0.31,1.85,39.7,22.2,2.31,2.0,1.23,0.92,1.85,2.46,4.92,30.0,10000000.0
Dimitri Foulquier,Valencia,DF,fr FRA,31.0,2299,25.5,0.4,0,1,0.51,0.08,1.41,0.16,97,48,0.39,0.31,2.24,21.7,15.5,1.8,1.88,1.22,0.63,1.69,3.37,3.8,39.4,2000000.0
Juan Foyth,Villarreal,DF,ar ARG,26.0,1517,16.9,2.4,1,0,1.01,0.3,1.18,0.06,65,13,0.41,0.24,0.24,17.7,25.8,5.21,1.48,0.89,1.12,0.47,7.04,3.61,59.4,10000000.0
Matheus França,Crystal Palace,"MF,FW",br BRA,20.0,55,0.6,0.3,1,0,10.0,5.0,5.0,0.0,3,4,0.0,0.0,1.67,10.0,6.67,0.0,3.33,0.0,1.67,1.67,1.67,5.0,33.3,10000000.0
Alejandro Francés,Girona,DF,es ESP,21.0,1173,13.0,0.2,0,0,0.46,0.0,1.23,0.08,63,18,0.31,0.54,1.92,20.8,26.2,5.38,2.77,1.85,1.31,1.62,4.0,2.85,31.6,2500000.0
Przemysław Frankowski,Lens,DF,pl POL,29.0,1387,15.4,0.7,4,2,0.91,0.32,2.99,0.32,117,33,1.3,0.39,5.06,31.1,20.7,3.12,2.08,1.36,1.23,2.01,1.82,3.96,57.1,
Enric Franquesa,Leganés,"DF,FW",es ESP,27.0,616,6.8,0.3,1,0,0.44,0.15,0.88,0.0,12,11,0.29,1.32,2.35,10.4,10.1,1.62,2.5,1.32,0.74,1.32,1.76,4.26,50.0,1500000.0
Ryan Fraser,Southampton,"FW,DF",sct SCO,30.0,306,3.4,0.0,0,0,0.29,0.29,1.47,0.0,8,10,0.59,0.59,3.53,12.6,8.24,0.88,1.76,0.59,0.29,0.59,2.65,2.94,40.0,3000000.0
Davide Frattesi,Inter,MF,it ITA,24.0,1225,13.6,4.0,5,1,2.06,0.51,1.4,0.15,31,23,0.51,0.51,0.59,12.8,7.72,0.96,1.25,0.59,0.37,0.74,1.03,3.53,43.5,32000000.0
