Player,Squad,Pos,Nation,Age,Min,90s,npxG,Gls,Ast,Sh,SoT,SCA,GCA,PrgP,PrgC,KP,Succ,Crs,Pass_Short_Cmp,Pass_Med_Cmp,Pass_Long_Cmp,Tkl,TklW,Int,Blocks,Clr,Recov,Won%,market_value_in_eur
Max Aarons,Bournemouth,DF,eng ENG,24.0,86,1.0,0.0,0,0,0.0,0.0,2.0,0.0,8,1,0.0,0.0,2.0,21.0,24.0,4.0,2.0,2.0,1.0,1.0,0.0,7.0,,12000000.0
Max Aarons,Valencia,"DF,MF",eng ENG,24.0,120,1.3,0.0,0,0,0.0,0.0,0.77,0.0,6,0,0.77,0.77,3.85,18.5,16.2,0.77,3.08,3.08,0.0,0.77,2.31,5.38,66.7,12000000.0
Rodrigo Abajas,Valencia,DF,es ESP,21.0,65,0.7,0.1,0,0,1.43,0.0,0.0,0.0,2,3,0.0,1.43,1.43,15.7,5.71,2.86,4.29,2.86,1.43,2.86,0.0,2.86,0.0,
James Abankwah,Udinese,"DF,MF",ie IRL,20.0,88,1.0,0.1,0,0,1.0,0.0,1.0,0.0,4,3,0.0,0.0,0.0,13.0,18.0,3.0,4.0,2.0,1.0,0.0,3.0,7.0,50.0,
Keyliane Abdallah,Marseille,FW,fr FRA,18.0,3,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,
Yunis Abdelhamid,Saint-Étienne,DF,ma MAR,36.0,1033,11.5,0.2,0,0,0.17,0.09,0.52,0.0,22,4,0.17,0.26,0.0,12.8,22.9,2.0,1.48,0.96,1.22,0.09,4.96,3.65,65.5,500000.0
Himad Abdelli,Angers,"MF,FW",dz ALG,24.0,2842,31.6,3.2,6,1,1.11,0.25,2.97,0.16,207,107,1.23,1.8,1.39,22.5,16.8,2.59,1.52,1.01,0.82,0.98,0.89,6.11,39.4,7000000.0
Mohamed Abdelmoneim,Nice,DF,eg EGY,25.0,855,9.5,0.0,0,0,0.0,0.0,0.84,0.0,52,6,0.0,0.11,0.21,20.5,25.4,2.84,2.21,1.47,1.58,0.21,5.89,5.26,62.0,
Ali Abdi,Nice,"DF,MF",tn TUN,30.0,1393,15.5,4.3,5,2,1.87,0.71,2.9,0.19,42,35,1.29,0.77,3.29,17.4,12.1,2.13,2.77,1.61,1.29,1.42,2.39,4.65,61.1,3000000.0
Saud Abdulhamid,Roma,DF,sa KSA,25.0,205,2.3,0.0,0,1,0.43,0.0,2.61,0.43,9,6,0.87,1.3,3.04,28.3,21.3,0.87,1.3,0.87,0.87,1.3,0.0,1.3,0.0,4000000.0
Nabil Aberdin,Getafe,MF,fr FRA,21.0,263,2.9,0.0,0,0,0.69,0.0,1.03,0.0,6,2,0.34,0.69,0.0,4.14,4.14,2.76,2.07,1.38,0.0,1.03,1.72,2.76,76.9,
Oliver Abildgaard,Como,MF,dk DEN,28.0,7,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Matthis Abline,Nantes,FW,fr FRA,21.0,2768,30.8,7.7,9,2,2.37,0.84,1.98,0.29,48,75,0.88,1.14,0.97,6.01,3.86,0.65,0.36,0.16,0.13,0.88,1.17,2.69,45.7,12000000.0
Abner,Lyon,DF,br BRA,24.0,1090,12.1,0.6,1,1,0.58,0.25,2.07,0.08,66,31,0.91,0.5,2.56,27.7,15.0,2.73,2.4,1.65,0.41,1.57,3.39,3.72,43.8,9000000.0
Zakaria Aboukhlal,Toulouse,"MF,FW",ma MAR,24.0,1901,21.1,8.6,7,2,2.94,1.23,1.61,0.33,22,34,0.57,0.76,1.56,6.87,2.65,0.28,1.04,0.62,0.28,0.66,0.43,2.89,36.7,12000000.0
Abdel Abqar,Alavés,DF,ma MAR,25.0,2463,27.4,0.9,0,1,0.44,0.04,0.91,0.11,79,16,0.29,0.11,0.18,6.57,15.4,4.16,1.31,0.84,1.42,0.22,5.33,3.18,53.3,7500000.0
Tammy Abraham,Roma,FW,eng ENG,26.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,15000000.0
Tammy Abraham,Milan,FW,eng ENG,26.0,1183,13.1,5.4,3,4,1.98,0.84,2.52,0.69,26,8,1.07,0.31,0.23,7.18,3.51,0.23,1.3,0.84,0.15,0.46,1.22,0.92,52.2,15000000.0
Federico Accornero,Genoa,MF,it ITA,20.0,5,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,10.0,20.0,20.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,
Francesco Acerbi,Inter,DF,it ITA,36.0,1710,19.0,0.4,0,1,0.26,0.05,1.05,0.05,62,19,0.47,0.16,0.53,21.4,36.7,4.37,1.21,1.0,1.37,0.26,4.26,3.26,67.0,3000000.0
Joshua Acheampong,Chelsea,DF,eng ENG,18.0,170,1.9,0.2,0,0,1.05,0.0,1.05,0.0,8,0,0.0,0.53,0.0,15.3,33.2,5.79,1.05,0.53,0.53,1.05,1.05,3.68,14.3,
Akor Adams,Sevilla,FW,ng NGA,24.0,134,1.5,0.4,0,0,1.33,0.67,0.0,0.0,5,0,0.0,0.67,0.0,6.0,4.67,2.0,0.0,0.0,0.0,0.0,0.67,2.67,37.5,7500000.0
Akor Adams,Montpellier,FW,ng NGA,24.0,1075,11.9,4.3,3,1,2.18,1.01,2.1,0.42,6,11,1.01,0.59,0.42,6.05,2.69,0.25,0.34,0.25,0.08,0.59,0.42,2.02,50.9,7500000.0
Che Adams,Torino,FW,sct SCO,28.0,2652,29.5,8.2,9,3,2.14,0.85,2.14,0.17,40,23,0.88,0.37,0.34,7.49,4.54,1.25,0.41,0.2,0.07,0.58,0.61,1.69,36.7,
Tyler Adams,Bournemouth,MF,us USA,25.0,1965,21.8,1.6,0,3,0.41,0.09,1.88,0.18,76,14,0.83,0.18,0.14,20.0,18.0,1.74,3.81,2.29,1.47,0.64,1.93,5.23,63.3,18000000.0
Junior Adamu,Freiburg,FW,at AUT,23.0,1545,17.2,5.5,2,2,2.09,0.64,1.69,0.17,14,8,0.99,0.58,0.29,7.21,2.79,0.12,0.52,0.17,0.7,0.7,1.16,3.02,32.9,6000000.0
Tosin Adarabioyo,Chelsea,DF,eng ENG,26.0,1409,15.7,0.9,1,1,0.83,0.13,0.96,0.06,42,5,0.06,0.25,0.0,25.9,38.4,4.2,1.08,0.83,0.7,0.19,5.1,2.61,60.0,20000000.0
Martin Adeline,Reims,MF,fr FRA,20.0,26,0.3,0.0,0,0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,10.0,10.0,3.33,3.33,3.33,0.0,0.0,6.67,0.0,0.0,
Karim Adeyemi,Dortmund,"FW,MF",de GER,22.0,1433,15.9,5.5,7,6,2.89,1.13,3.58,0.69,28,68,1.76,2.52,1.64,10.3,6.23,1.01,1.26,0.88,0.44,1.26,0.31,3.02,40.9,40000000.0
Simon Adingra,Brighton,"FW,MF",ci CIV,22.0,1097,12.2,2.5,2,2,2.7,0.66,3.85,0.57,18,50,1.31,1.72,3.36,15.3,6.64,1.31,1.89,1.15,0.66,0.98,0.49,3.85,63.6,30000000.0
Amine Adli,Leverkusen,"MF,FW",ma MAR,24.0,766,8.5,2.7,2,0,2.35,0.82,3.41,0.0,24,37,1.29,1.76,3.88,20.0,8.47,0.71,1.76,1.06,0.0,1.65,0.47,3.53,44.7,22000000.0
Yacine Adli,Fiorentina,MF,fr FRA,24.0,1234,13.7,1.0,4,6,1.02,0.36,3.65,0.73,103,24,1.68,0.88,4.6,21.8,21.2,8.47,2.34,1.39,0.44,0.88,1.39,5.62,23.8,15000000.0
Adryelson,Lyon,DF,br BRA,26.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,4000000.0
Vasilije Adžić,Juventus,"MF,FW",me MNE,18.0,42,0.5,0.0,0,0,2.0,2.0,4.0,0.0,1,0,0.0,0.0,0.0,16.0,10.0,4.0,4.0,4.0,0.0,2.0,0.0,6.0,40.0,3000000.0
Michel Aebischer,Bologna,MF,ch SUI,27.0,724,8.0,0.4,0,0,1.25,0.63,2.25,0.0,33,8,1.0,0.38,1.75,20.6,19.1,5.13,2.25,1.63,0.88,0.5,0.75,4.38,35.7,10000000.0
Oladapo Afolayan,St. Pauli,"FW,MF",eng ENG,26.0,1639,18.2,3.1,3,1,2.09,0.71,2.86,0.33,32,53,1.15,2.64,2.91,8.13,7.09,1.92,0.93,0.44,0.44,1.7,1.1,3.96,29.7,4000000.0
Emmanuel Agbadou,Wolves,DF,ci CIV,27.0,1410,15.7,0.8,1,0,0.45,0.13,1.08,0.19,31,6,0.25,0.64,0.13,17.6,29.7,6.82,1.91,1.21,0.76,0.32,5.73,5.29,56.5,17000000.0
Emmanuel Agbadou,Reims,DF,ci CIV,27.0,1260,14.0,0.5,0,0,1.07,0.21,1.5,0.07,77,10,0.57,0.64,0.07,20.9,28.6,7.86,1.79,1.21,1.36,0.29,4.57,6.07,62.1,17000000.0
Asher Agbinone,Crystal Palace,MF,eng ENG,18.0,6,0.1,0.0,0,0,10.0,0.0,10.0,0.0,0,2,10.0,0.0,10.0,10.0,10.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,
Jeremy Agbonifo,Lens,"FW,MF",se SWE,18.0,300,3.3,0.7,1,0,1.82,1.21,2.42,0.0,6,13,0.91,2.73,2.12,11.2,5.45,0.3,2.12,1.82,0.3,1.21,0.0,2.73,10.0,5000000.0
Lucien Agoume,Sevilla,MF,fr FRA,22.0,2114,23.5,0.9,1,3,0.43,0.09,2.55,0.21,135,29,1.15,0.94,0.77,23.2,15.2,3.36,2.98,1.36,1.74,0.68,1.79,5.79,51.2,
Felix Agu,Werder Bremen,DF,ng NGA,24.0,1751,19.5,1.4,3,0,0.46,0.21,1.79,0.05,43,33,1.03,0.46,2.51,17.2,12.5,2.56,1.54,0.72,1.08,1.33,2.46,3.44,41.2,6000000.0
Álvaro Aguado,Espanyol,MF,es ESP,28.0,443,4.9,0.6,0,1,2.04,0.2,3.27,0.2,37,15,0.82,1.02,2.45,12.9,20.2,5.71,1.02,0.41,0.82,1.02,1.02,7.55,60.0,2000000.0
Lorenzo Aguado,Real Madrid,DF,es ESP,21.0,5,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,,
Nayef Aguerd,Real Sociedad,DF,ma MAR,28.0,1760,19.6,2.4,0,0,0.77,0.26,0.82,0.05,75,26,0.26,0.26,0.1,22.3,31.5,7.35,1.53,1.22,0.66,0.51,4.64,3.72,65.6,25000000.0
Ruben Aguilar,Lens,"DF,MF",fr FRA,31.0,1124,12.5,0.8,1,2,0.88,0.24,2.08,0.4,74,32,0.88,0.72,3.76,34.4,14.7,2.72,2.72,1.44,1.04,2.32,1.84,6.32,38.5,4000000.0
Naouirou Ahamada,Rennes,"MF,FW",fr FRA,22.0,58,0.6,0.0,0,0,1.67,0.0,3.33,0.0,1,2,0.0,0.0,1.67,13.3,15.0,0.0,0.0,0.0,3.33,0.0,3.33,11.7,0.0,5000000.0
Honest Ahanor,Genoa,"DF,MF",it ITA,16.0,270,3.0,0.5,0,0,1.0,0.33,1.67,0.0,3,3,0.67,0.0,1.33,8.0,8.0,1.0,2.33,1.67,0.33,1.0,3.0,4.67,62.5,3000000.0
Erik Ahlstrand,St. Pauli,"FW,MF",se SWE,22.0,43,0.5,0.0,0,0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,500000.0
Jean-Eudes Aholou,Angers,MF,ci CIV,30.0,1959,21.8,1.8,2,0,1.24,0.32,1.51,0.05,68,15,0.46,0.55,0.09,14.7,13.2,0.96,2.57,1.65,1.51,0.41,1.47,4.59,62.3,2000000.0
Joseph Aidoo,Valladolid,DF,gh GHA,28.0,583,6.5,0.0,0,0,0.15,0.0,0.15,0.0,14,1,0.0,0.15,0.0,12.3,33.1,6.31,0.77,0.77,0.77,0.46,4.0,3.85,52.9,1400000.0
Joseph Aidoo,Celta Vigo,DF,gh GHA,28.0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,1400000.0
Ayman Aiki,Saint-Étienne,"FW,MF",fr FRA,19.0,127,1.4,0.1,0,0,2.14,0.71,0.71,0.0,5,4,0.71,0.0,0.71,8.57,2.86,0.71,2.14,2.14,0.71,0.71,0.0,5.0,20.0,
Ola Aina,Nott'ham Forest,DF,ng NGA,27.0,2995,33.3,0.6,2,1,0.33,0.06,1.86,0.12,107,67,0.48,0.99,1.77,15.9,11.2,1.71,1.65,1.26,0.99,1.38,3.45,5.71,40.6,20000000.0
Rayan Aït-Nouri,Wolves,DF,dz ALG,23.0,3109,34.5,2.7,4,7,1.04,0.29,2.64,0.35,108,89,1.33,1.83,2.72,26.0,12.6,1.39,2.58,1.65,0.75,1.22,2.17,4.2,42.3,35000000.0
Junior Ajayi,Hellas Verona,FW,ci CIV,19.0,13,0.1,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,300000.0
Kristoffer Ajer,Brentford,DF,no NOR,26.0,1438,16.0,1.0,0,0,0.56,0.19,1.13,0.13,56,27,0.5,0.44,0.88,16.3,12.4,1.69,1.63,1.13,0.75,1.13,3.13,2.63,54.0,18000000.0
Ludovic Ajorque,Brest,FW,fr FRA,30.0,2495,27.7,9.6,13,2,1.91,0.9,2.17,0.29,41,10,1.26,0.29,0.25,9.17,5.31,1.26,0.94,0.69,0.22,0.58,0.94,2.24,52.4,4000000.0
Manuel Akanji,Manchester City,DF,ch SUI,29.0,2014,22.4,1.6,0,0,0.67,0.09,1.65,0.13,158,46,0.4,0.09,0.49,34.6,33.8,3.75,0.85,0.54,0.4,0.27,2.86,4.6,47.6,32000000.0
Ümit Akdag,Toulouse,DF,ro ROU,20.0,500,5.6,0.1,0,0,0.36,0.0,0.89,0.0,29,4,0.36,0.18,0.54,21.8,24.5,2.32,1.43,0.71,1.96,1.61,3.39,4.29,72.0,
Nathan Aké,Manchester City,DF,nl NED,29.0,678,7.5,0.2,0,0,0.4,0.0,1.07,0.0,50,12,0.13,0.13,0.13,33.1,31.6,2.67,1.2,0.93,0.4,0.4,2.93,3.2,56.5,32000000.0
Ilias Akhomach,Villarreal,"MF,FW",ma MAR,20.0,584,6.5,0.6,1,0,2.62,0.92,4.46,0.15,12,30,1.38,2.92,2.77,11.7,7.08,1.23,1.85,1.08,0.46,1.08,2.0,4.62,50.0,15000000.0
Sergio Akieme,Reims,DF,es ESP,26.0,2523,28.0,1.5,2,3,0.93,0.25,1.32,0.11,86,55,0.75,0.46,3.36,18.8,12.1,1.25,1.21,0.82,0.61,0.68,3.46,3.89,42.2,7000000.0
Maghnes Akliouche,Monaco,"FW,MF",fr FRA,22.0,2406,26.7,8.4,5,10,2.28,0.64,4.46,0.71,173,127,1.84,1.87,1.99,22.6,10.9,2.02,1.91,1.16,0.56,1.27,0.49,4.91,17.9,40000000.0
Paul Akouokou,Lyon,MF,ci CIV,26.0,19,0.2,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,20.0,15.0,15.0,5.0,0.0,5.0,5.0,0.0,0.0,,800000.0
Clément Akpa,Auxerre,DF,ci CIV,22.0,2486,27.6,0.3,0,1,0.22,0.04,0.8,0.14,74,27,0.29,0.29,0.91,13.3,17.9,4.46,1.99,1.23,1.52,0.72,5.11,4.2,55.1,3000000.0
Jean-Daniel Akpa-Akpro,Monza,MF,ci CIV,31.0,966,10.7,0.3,0,0,0.37,0.19,1.12,0.09,19,21,0.28,1.12,0.56,14.6,8.97,1.21,2.8,1.68,1.21,1.21,1.5,5.05,42.3,
David Akpan Ankeye,Genoa,"FW,MF",ng NGA,22.0,45,0.5,0.0,0,0,0.0,0.0,2.0,2.0,1,0,0.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,
Kevin Akpoguma,Hoffenheim,DF,ng NGA,29.0,2220,24.7,0.1,0,0,0.2,0.04,1.09,0.04,98,14,0.28,0.32,0.49,19.3,24.2,3.56,2.19,1.09,1.17,0.4,4.66,4.33,50.5,2500000.0
Chuba Akpom,Lille,FW,eng ENG,28.0,639,7.1,3.4,3,1,2.54,1.27,2.39,0.42,7,6,0.7,0.56,0.14,6.2,1.69,0.42,1.13,0.7,0.0,1.13,0.42,1.55,60.7,8000000.0
David Alaba,Real Madrid,DF,at AUT,32.0,317,3.5,0.0,0,0,0.0,0.0,0.57,0.0,7,2,0.29,0.0,0.86,25.7,27.4,4.29,0.29,0.0,1.71,0.57,2.0,2.29,80.0,10000000.0
Ibrahim Alani,Valladolid,MF,ng NGA,18.0,160,1.8,0.0,0,0,0.56,0.0,0.0,0.0,5,2,0.0,0.56,0.0,12.8,20.6,4.44,6.67,3.89,0.56,0.0,0.56,7.22,75.0,
Andreas Albers,St. Pauli,FW,dk DEN,34.0,62,0.7,0.6,1,0,4.29,1.43,2.86,0.0,3,1,2.86,2.86,0.0,14.3,5.71,1.43,1.43,1.43,0.0,0.0,1.43,4.29,45.5,300000.0
Raúl Albiol,Villarreal,DF,es ESP,38.0,1188,13.2,0.1,0,0,0.15,0.0,0.38,0.23,34,3,0.0,0.0,0.0,16.1,32.8,5.76,0.76,0.68,0.45,0.23,5.23,3.33,67.4,1300000.0
Carlos Alcaraz,Southampton,MF,ar ARG,21.0,10,0.1,0.1,0,0,10.0,10.0,10.0,0.0,6,4,10.0,0.0,10.0,70.0,40.0,20.0,0.0,0.0,10.0,0.0,0.0,20.0,100.0,14000000.0
Carlos Alcaraz,Everton,"FW,MF",ar ARG,21.0,764,8.5,1.7,2,3,3.06,1.29,3.88,0.71,42,19,1.53,1.06,1.29,11.3,11.2,2.82,1.29,0.59,0.59,1.18,1.18,4.35,63.6,14000000.0
Omar Alderete,Getafe,DF,py PAR,27.0,2971,33.0,1.7,1,0,1.15,0.3,1.12,0.12,112,25,0.33,0.55,0.18,5.79,11.1,4.94,1.3,0.88,1.21,0.42,7.3,3.48,66.4,8000000.0
Carles Aleñá,Getafe,"MF,FW",es ESP,26.0,452,5.0,0.9,0,0,1.0,0.2,1.6,0.0,12,3,0.6,0.6,1.2,9.0,7.6,1.2,1.2,0.6,0.0,0.2,1.4,2.4,52.6,2500000.0
Carles Aleñá,Alavés,"MF,FW",es ESP,26.0,1090,12.1,0.7,0,2,1.24,0.33,3.64,0.33,58,18,1.57,0.99,2.56,16.2,10.1,2.07,1.57,0.99,0.17,1.74,0.33,3.88,60.0,2500000.0
Trent Alexander-Arnold,Liverpool,DF,eng ENG,25.0,2365,26.3,1.9,3,6,1.71,0.3,3.73,0.38,232,51,1.98,0.65,5.82,24.0,22.4,7.72,2.74,1.9,1.18,1.37,2.09,5.02,18.8,75000000.0
Alfon,Celta Vigo,"FW,MF",es ESP,25.0,1371,15.2,4.6,5,2,3.03,1.25,3.88,0.46,22,89,1.58,1.64,2.63,9.61,6.18,0.72,0.53,0.2,0.33,1.78,0.33,2.43,17.6,
Mohamed Ali Cho,Nice,"FW,MF",fr FRA,20.0,1621,18.0,4.0,3,4,2.0,0.83,3.28,0.61,59,81,1.67,1.11,2.83,11.4,5.83,1.06,0.72,0.5,0.28,1.28,0.44,3.83,32.5,
Faride Alidou,Hellas Verona,"FW,MF",de GER,23.0,71,0.8,0.0,0,0,1.25,0.0,2.5,0.0,1,1,1.25,2.5,3.75,8.75,5.0,1.25,0.0,0.0,1.25,0.0,3.75,0.0,100.0,
Tadeo Allende,Celta Vigo,FW,ar ARG,25.0,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,
Jim Allevinah,Angers,FW,ga GAB,29.0,1750,19.4,4.2,1,3,1.8,0.52,2.01,0.36,48,57,0.77,0.77,1.75,11.3,5.72,0.98,0.98,0.57,0.62,0.67,0.88,4.54,29.4,1800000.0
Dele Alli,Como,MF,eng ENG,28.0,9,0.1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3500000.0
Thiago Almada,Lyon,"MF,FW",ar ARG,23.0,951,10.6,2.0,1,4,2.17,0.47,4.91,1.04,97,38,2.08,0.75,4.43,32.9,21.9,3.68,1.32,0.75,0.66,0.57,0.57,5.28,33.3,25000000.0
Domingos André Ribeiro Almeida,Valencia,"MF,FW",pt POR,24.0,1977,22.0,1.2,0,4,0.82,0.23,3.91,0.27,142,45,1.95,1.0,3.05,18.9,12.6,3.5,2.18,1.45,0.36,0.77,0.64,4.05,25.0,
Iker Almena,Girona,"FW,DF",es ESP,20.0,48,0.5,0.0,0,1,2.0,0.0,6.0,4.0,2,6,4.0,4.0,8.0,26.0,20.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,,
Miguel Almirón,Newcastle Utd,FW,py PAR,30.0,157,1.7,0.5,0,0,3.53,1.18,4.71,0.0,6,3,1.76,0.59,0.0,22.9,7.65,0.59,1.76,1.18,0.0,1.18,0.0,2.35,0.0,
Pontus Almqvist,Parma,"FW,MF",se SWE,25.0,1112,12.4,2.1,1,1,2.1,0.73,2.1,0.16,12,42,0.81,1.61,0.89,12.1,3.71,0.56,1.37,1.05,1.53,0.89,0.65,3.23,37.5,2500000.0
Marcos Alonso,Celta Vigo,DF,es ESP,33.0,2647,29.4,1.6,3,0,1.05,0.34,1.56,0.2,215,64,0.71,0.54,1.43,29.0,36.7,6.12,1.19,0.71,1.16,0.82,4.29,5.99,62.5,1800000.0
Giorgio Altare,Venezia,DF,it ITA,25.0,753,8.4,0.2,0,0,0.36,0.12,0.6,0.0,20,4,0.12,0.6,0.83,12.5,18.8,1.9,1.55,1.43,2.02,0.24,5.83,3.21,52.8,
Adrià Altimira,Leganés,"DF,FW",es ESP,23.0,1630,18.1,0.3,0,0,0.39,0.11,1.16,0.06,42,23,0.61,0.55,1.55,14.1,10.3,1.88,2.27,1.33,0.83,0.61,2.98,3.92,38.7,1500000.0
Sergi Altimira,Betis,MF,es ESP,22.0,1972,21.9,1.6,0,1,0.96,0.18,2.37,0.05,99,25,1.0,0.73,0.23,25.6,20.2,3.74,2.79,1.69,1.1,0.78,1.96,5.34,33.3,10000000.0
Olabade Aluko,Leicester City,DF,,,2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,
Edson Álvarez,West Ham,MF,mx MEX,26.0,1772,19.7,0.4,0,1,0.61,0.05,1.42,0.1,85,24,0.61,0.71,0.3,21.5,18.3,3.35,2.54,1.37,0.91,0.51,2.34,4.47,56.6,30000000.0
Hugo Álvarez,Celta Vigo,"MF,DF",es ESP,21.0,1572,17.5,2.5,4,3,1.43,0.51,2.63,0.51,60,74,0.97,1.83,1.77,24.5,18.2,1.83,1.49,0.51,0.46,1.89,1.66,4.46,33.3,7500000.0
Julián Álvarez,Atlético Madrid,FW,ar ARG,24.0,2509,27.9,11.0,17,4,2.51,1.29,3.87,0.54,92,79,1.47,1.22,2.47,14.5,7.67,1.9,0.9,0.61,0.07,1.11,0.43,2.69,29.5,
Yeray Álvarez,Athletic Club,DF,es ESP,29.0,1781,19.8,0.5,1,0,0.45,0.1,0.91,0.1,105,19,0.2,0.3,0.15,14.3,30.7,5.05,1.26,0.66,1.72,0.66,6.52,4.19,53.8,7500000.0
Skelly Alvero,Werder Bremen,MF,fr FRA,22.0,236,2.6,0.0,0,0,0.38,0.0,0.77,0.0,8,1,0.0,0.77,0.0,13.1,11.5,1.15,4.23,2.31,0.77,1.15,3.85,5.0,62.5,3000000.0
Will Alves,Leicester City,FW,eng ENG,19.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Selim Amallah,Valladolid,MF,ma MAR,27.0,1376,15.3,2.7,3,1,1.37,0.46,2.09,0.07,57,24,0.85,2.16,2.03,10.5,6.47,2.94,1.96,1.18,0.92,0.59,0.33,4.77,23.8,1800000.0
Harry Amass,Manchester Utd,DF,eng ENG,17.0,346,3.8,0.1,0,0,0.79,0.0,2.11,0.0,7,9,0.26,0.79,2.37,25.5,11.6,0.79,1.58,0.53,0.53,0.79,2.89,6.84,53.8,
Amath,Valladolid,"FW,DF",sn SEN,28.0,375,4.2,0.4,0,1,1.19,0.24,3.1,0.24,12,10,1.43,1.67,1.67,11.7,6.19,1.9,0.48,0.0,0.48,1.67,1.43,3.1,14.3,
Jordan Amavi,Brest,DF,fr FRA,30.0,790,8.8,0.3,0,0,0.91,0.34,1.59,0.11,36,22,0.68,0.8,1.7,20.7,19.9,2.39,2.73,1.93,0.8,1.48,2.05,3.98,71.4,2000000.0
Aurele Amenda,Eint Frankfurt,DF,ch SUI,21.0,96,1.1,0.0,0,0,0.0,0.0,1.82,0.0,2,1,0.91,0.91,0.0,21.8,23.6,6.36,0.91,0.0,1.82,1.82,10.0,1.82,72.7,
Kelvin Amian,Nantes,DF,fr FRA,26.0,2165,24.1,1.0,1,0,0.29,0.17,1.58,0.04,73,32,0.54,0.54,1.54,16.0,11.5,2.16,2.28,1.29,0.54,1.0,3.53,2.24,50.0,2500000.0
Michael Amir Murillo,Marseille,DF,pa PAN,28.0,2437,27.1,1.5,1,3,0.48,0.15,1.73,0.22,140,43,0.89,0.52,1.37,30.0,28.4,1.88,1.81,1.14,0.66,1.18,2.58,5.09,71.2,
Nadiem Amiri,Mainz 05,MF,de GER,27.0,2473,27.5,3.9,7,5,2.18,0.87,4.33,0.55,204,50,2.29,1.16,6.04,22.2,19.9,6.51,1.82,0.84,0.58,1.31,1.09,7.53,48.5,18000000.0
Samuel Amo-Ameyaw,Southampton,"FW,DF",eng ENG,18.0,28,0.3,0.0,0,0,3.33,0.0,6.67,0.0,0,1,3.33,0.0,6.67,20.0,6.67,0.0,3.33,0.0,0.0,0.0,0.0,3.33,0.0,2000000.0
Samuel Amo-Ameyaw,Strasbourg,"DF,MF",eng ENG,18.0,320,3.6,0.7,2,0,2.5,1.94,3.89,0.28,12,11,1.39,1.39,1.67,15.3,11.7,0.83,1.39,0.83,0.83,0.83,0.56,3.89,0.0,2000000.0
Mathis Amougou,Chelsea,MF,fr FRA,18.0,8,0.1,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,10000000.0
Mathis Amougou,Saint-Étienne,MF,fr FRA,18.0,859,9.5,0.5,0,0,0.74,0.11,1.79,0.0,36,8,0.74,0.53,0.11,13.3,8.63,1.47,2.21,1.58,1.26,0.42,0.42,3.89,20.0,10000000.0
Mohamed Amoura,Wolfsburg,FW,dz ALG,24.0,2467,27.4,7.2,10,9,2.66,0.91,2.92,0.47,61,81,1.28,1.35,1.28,10.7,5.95,1.64,1.06,0.8,0.33,1.53,0.88,3.36,29.7,32000000.0
